Participant ID,sex,Participant ID_y,"When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Selected Choice","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Other: - Text",Do you consider yourself a good navigator?,Do you find it easy to read and use maps?,How often do you get disoriented while finding your way around?,"When thinking about a familiar street, how well can you picture the buildings along it?","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Selected Choice","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Other: - Text",Do you picture travelling a route on street level or from a bird's eye view? - Selected Choice,Do you picture travelling a route on street level or from a bird's eye view? - Other: - Text,"When navigating in an area you know well, do you usually just know where to go or do you need to look around at the surroundings to decide (e.g. coming out of a subway station)?","When traveling along a new route, do you usually remember what buildings you've passed?",Would you prefer to navigate using a list of directions or a map,Do you use landmarks (i.e. familiar buildings) to orient yourself when navigating?,"Do you find you're flexible navigating along routes (i.e. you can take new shortcuts easily, or do you prefer to follow the same path every time?",How easily could you draw a map of the city that you know?,"Do you think that you navigate by following a mental map, or working on scene at a time. - Selected Choice","Do you think that you navigate by following a mental map, or working on scene at a time. - Other: - Text",mapping_tendency
102,female,102,map-based,,map-based,map-based,map-based,Somewhat clearly,map-based,,map-based,,map-based,Somewhat,map-based,Sometimes,map-based,Somewhat easily,map-based,,10
103,female,103,map-based,,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,scene-based,scene-based,map-based,Somewhat easily,map-based,,2
104,male,104,Other:,I picture a map with landmarks that I imagine as scenes.,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,map-based,map-based,,5
106,female,106,map-based,,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,map-based,,Some of each,Somewhat,scene-based,scene-based,Somewhat flexile,Somewhat easily,scene-based,,0
107,female,107,Other:,I memorized the scenery around each object.,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,Somewhat,No preference,Sometimes,map-based,map-based,map-based,,4
108,male,108,scene-based,,scene-based,scene-based,scene-based,scene-based,scene-based,,scene-based,,map-based,map-based,scene-based,map-based,scene-based,scene-based,scene-based,,-8
111,male,111,scene-based,,scene-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,scene-based,,-4
112,male,112,map-based,,map-based,map-based,map-based,scene-based,map-based,,map-based,,map-based,Somewhat,map-based,Sometimes,map-based,Somewhat easily,map-based,,9
113,female,113,map-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,scene-based,No preference,scene-based,map-based,map-based,map-based,,3
114,female,114,scene-based,,scene-based,Somewhat,scene-based,map-based,scene-based,,scene-based,,Some of each,map-based,map-based,scene-based,scene-based,scene-based,scene-based,,-6
