Participant ID,sex,Participant ID_y,"When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Selected Choice","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Other: - Text",Do you consider yourself a good navigator?,Do you find it easy to read and use maps?,How often do you get disoriented while finding your way around?,"When thinking about a familiar street, how well can you picture the buildings along it?","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Selected Choice","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Other: - Text",Do you picture travelling a route on street level or from a bird's eye view? - Selected Choice,Do you picture travelling a route on street level or from a bird's eye view? - Other: - Text,"When navigating in an area you know well, do you usually just know where to go or do you need to look around at the surroundings to decide (e.g. coming out of a subway station)?","When traveling along a new route, do you usually remember what buildings you've passed?",Would you prefer to navigate using a list of directions or a map,Do you use landmarks (i.e. familiar buildings) to orient yourself when navigating?,"Do you find you're flexible navigating along routes (i.e. you can take new shortcuts easily, or do you prefer to follow the same path every time?",How easily could you draw a map of the city that you know?,"Do you think that you navigate by following a mental map, or working on scene at a time. - Selected Choice","Do you think that you navigate by following a mental map, or working on scene at a time. - Other: - Text",mapping_tendency
104,male,104,Other:,I picture a map with landmarks that I imagine as scenes.,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,map-based,map-based,,5
108,male,108,scene-based,,scene-based,scene-based,scene-based,scene-based,scene-based,,scene-based,,map-based,map-based,scene-based,map-based,scene-based,scene-based,scene-based,,-8
111,male,111,scene-based,,scene-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,scene-based,,-4
112,male,112,map-based,,map-based,map-based,map-based,scene-based,map-based,,map-based,,map-based,Somewhat,map-based,Sometimes,map-based,Somewhat easily,map-based,,9
124,male,124,map-based,,scene-based,Somewhat,map-based,scene-based,scene-based,,scene-based,,map-based,scene-based,scene-based,scene-based,map-based,Somewhat easily,map-based,,-2
130,male,130,map-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,map-based,,1
134,male,134,Other:,I visualize a path on a map as well as a mental image of locations familiar to me.,map-based,map-based,map-based,scene-based,Other:,"I like using map directions, but I find myself using landmarks as that is what people generally prefer to hear. Ultimately, if it were my choice I would opt to give map directions.",scene-based,,map-based,Somewhat,map-based,scene-based,map-based,Somewhat easily,Other:,"I feel like the development of my pathfinding abilities can be owed to minimaps featured in videogames; I navigate with a mix of visual landmarks as well as a continually present map, at least mentally.",3
135,male,135,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,Some of each,scene-based,map-based,scene-based,map-based,map-based,map-based,,1
136,male,136,scene-based,,map-based,map-based,map-based,scene-based,map-based,,map-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,5
138,male,138,Other:,A Mix of Both,map-based,Somewhat,map-based,Somewhat clearly,Other:,I use a mix of both usually.,scene-based,,map-based,Somewhat,No preference,Sometimes,map-based,Somewhat easily,scene-based,,2
141,male,141,scene-based,,scene-based,Somewhat,map-based,scene-based,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,scene-based,scene-based,scene-based,,-4
142,male,142,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,map-based,Somewhat easily,scene-based,,-3
145,male,145,map-based,,map-based,map-based,map-based,scene-based,map-based,,map-based,,map-based,Somewhat,map-based,Sometimes,map-based,map-based,map-based,,10
149,male,149,Other:,Both,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,No preference,Sometimes,Somewhat flexile,scene-based,Other:,Both,0
167,male,167,Other:,I mainly separated the map into 2 sides. The objects on the side of the big red building vs the ones that weren't. I assigned objects to be opposites of each other if they were placed in the same location but on different sides.,scene-based,Somewhat,Somewhat Often,Somewhat clearly,Other:,Mostly map directions but when people need to turn into a parking lot I use landmarks.,Other:,A combination of both,map-based,map-based,map-based,Sometimes,Somewhat flexile,scene-based,map-based,,2
174,male,174,scene-based,,map-based,Somewhat,map-based,scene-based,scene-based,,map-based,,Some of each,Somewhat,scene-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,-1
177,male,177,scene-based,,scene-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,Somewhat,scene-based,scene-based,scene-based,scene-based,scene-based,,-9
178,male,178,map-based,,scene-based,map-based,scene-based,Somewhat clearly,scene-based,,scene-based,,map-based,Somewhat,map-based,scene-based,scene-based,scene-based,map-based,,-2
182,male,182,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,Somewhat,No preference,scene-based,map-based,scene-based,map-based,,0
189,male,189,Other:,Both,map-based,map-based,map-based,scene-based,scene-based,,Other:,Both,map-based,Somewhat,map-based,Sometimes,map-based,map-based,map-based,,6
194,male,194,map-based,,map-based,Somewhat,map-based,scene-based,scene-based,,map-based,,map-based,map-based,scene-based,scene-based,Somewhat flexile,Somewhat easily,scene-based,,1
195,male,195,scene-based,,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,map-based,map-based,No preference,scene-based,Somewhat flexile,scene-based,scene-based,,-1
