Participant ID,sex,Participant ID_y,1) - I am very good at giving directions.,2) - I have a poor memory for where I left things.,3) - I am very good at judging distances.,"4) - My ""sense of direction"" is very good.","5) - I tend to think of my environment in terms of cardinal directions (N, S, E, W).",6) - I very easily get lost in a new city.,7) - I enjoy reading maps.,8) - I have trouble understanding directions.,9) - I am very good at reading maps.,10) - I don't remember routes very well while riding as a passenger in a car.,11) - I don't enjoy giving directions.,12) - It's not important to me to know where I am.,13) - I usually let someone else do the navigational planning for long trips.,14) - I can usually remember a new route after I have traveled it only once.,"15) - I don't have a very good ""mental map"" of my environment.",average_score
102,female,102,6,3,6,6,6,4,6,6,6,2,7,7,7,5,6,5.533333333333333
103,female,103,6,6,5,5,2,4,5,5,5,5,5,6,3,5,5,4.8
104,male,104,5,5,4,6,7,4,7,4,5,6,6,6,4,5,5,5.266666666666667
106,female,106,6,3,1,3,3,4,5,2,5,1,5,7,3,2,4,3.6
107,female,107,6,6,7,7,1,4,2,6,6,3,5,7,6,4,7,5.133333333333334
108,male,108,1,1,3,1,1,1,2,4,1,2,1,7,2,1,1,1.9333333333333331
111,male,111,1,1,3,2,1,3,5,2,4,4,2,6,3,2,2,2.7333333333333334
112,male,112,6,6,6,6,7,6,5,6,6,6,6,6,6,5,6,5.933333333333334
113,female,113,7,7,7,7,1,7,6,7,7,7,7,7,7,7,7,6.533333333333333
114,female,114,1,1,2,1,1,2,4,3,2,1,1,7,1,1,3,2.066666666666667
115,female,115,5,5,6,5,1,5,3,6,5,3,6,7,4,3,6,4.666666666666667
116,female,116,5,4,3,5,3,4,3,5,4,5,4,5,4,4,5,4.2
118,female,118,5,4,6,6,1,2,4,5,4,5,1,6,6,5,5,4.333333333333333
119,female,119,5,1,5,2,1,5,7,6,7,5,6,6,7,5,6,4.933333333333334
120,female,120,7,7,2,1,1,1,1,6,1,3,7,3,6,3,5,3.6
121,female,121,2,3,1,2,1,2,1,2,1,5,1,7,2,2,3,2.333333333333333
123,female,123,6,2,5,6,1,4,7,6,6,3,6,6,5,6,7,5.066666666666666
124,male,124,5,6,6,5,1,4,1,4,3,7,6,7,4,6,7,4.8
125,female,125,2,6,2,1,1,2,1,2,1,1,2,6,1,7,4,2.6
127,female,127,6,1,5,7,1,5,1,6,5,6,6,7,1,5,6,4.533333333333333
128,female,128,4,5,4,4,1,2,4,3,4,5,3,5,2,5,6,3.8
129,female,129,1,3,3,3,5,3,3,2,4,2,3,6,2,1,3,2.933333333333333
