Participant ID,sex,Participant ID_y,1) - I am very good at giving directions.,2) - I have a poor memory for where I left things.,3) - I am very good at judging distances.,"4) - My ""sense of direction"" is very good.","5) - I tend to think of my environment in terms of cardinal directions (N, S, E, W).",6) - I very easily get lost in a new city.,7) - I enjoy reading maps.,8) - I have trouble understanding directions.,9) - I am very good at reading maps.,10) - I don't remember routes very well while riding as a passenger in a car.,11) - I don't enjoy giving directions.,12) - It's not important to me to know where I am.,13) - I usually let someone else do the navigational planning for long trips.,14) - I can usually remember a new route after I have traveled it only once.,"15) - I don't have a very good ""mental map"" of my environment.",average_score
104,male,104,5,5,4,6,7,4,7,4,5,6,6,6,4,5,5,5.266666666666667
108,male,108,1,1,3,1,1,1,2,4,1,2,1,7,2,1,1,1.9333333333333331
111,male,111,1,1,3,2,1,3,5,2,4,4,2,6,3,2,2,2.7333333333333334
112,male,112,6,6,6,6,7,6,5,6,6,6,6,6,6,5,6,5.933333333333334
124,male,124,5,6,6,5,1,4,1,4,3,7,6,7,4,6,7,4.8
130,male,130,2,2,3,2,1,4,6,7,5,5,2,7,2,1,6,3.6666666666666665
134,male,134,7,1,5,7,7,6,7,6,6,7,6,7,7,5,7,6.066666666666666
135,male,135,7,3,7,7,3,6,2,7,7,7,7,2,6,7,7,5.666666666666667
136,male,136,6,3,6,7,1,5,4,6,6,7,4,5,5,4,6,5.0
138,male,138,6,5,4,6,3,6,6,6,5,6,3,6,6,5,6,5.266666666666667
141,male,141,5,4,5,5,2,4,3,3,5,3,4,5,3,4,4,3.933333333333333
142,male,142,6,6,1,5,1,3,2,6,5,2,6,3,2,2,6,3.733333333333333
145,male,145,6,6,6,6,7,6,7,6,7,7,7,7,6,7,7,6.533333333333333
149,male,149,7,5,6,5,2,4,3,3,4,3,4,7,4,5,6,4.533333333333333
167,male,167,3,2,4,3,4,1,5,3,4,4,5,7,3,5,4,3.8
174,male,174,5,3,4,3,3,3,2,3,3,6,6,7,3,5,5,4.066666666666666
177,male,177,4,2,4,2,2,3,2,6,3,5,4,6,4,2,5,3.6
178,male,178,1,3,1,2,5,2,5,1,6,1,1,2,1,5,1,2.466666666666667
182,male,182,3,4,4,4,1,2,1,6,2,2,1,7,4,3,6,3.333333333333333
189,male,189,6,7,7,7,7,6,6,7,7,6,6,7,6,6,7,6.533333333333333
194,male,194,5,5,3,5,2,3,5,5,5,2,5,6,7,5,5,4.533333333333333
195,male,195,6,6,7,7,5,3,5,5,5,2,4,7,6,6,6,5.333333333333333
