Participant ID,sex,Filename,Overall_accuracy,DD_accuracy,DS_accuracy,SS_accuracy,DSSS_accuracy
104,male,104_dist_comp.csv,0.78125,0.84375,0.96875,0.53125,0.75
108,male,108_dist_comp.csv,0.4270833333333333,0.5,0.375,0.40625,0.390625
111,male,111_dist_comp.csv,0.75,0.71875,0.75,0.78125,0.765625
112,male,112_dist_comp.csv,0.8229166666666666,0.75,0.75,0.96875,0.859375
124,male,124_dist_comp.csv,0.8645833333333334,0.90625,0.96875,0.71875,0.84375
130,male,130_dist_comp.csv,0.84375,0.9375,0.9375,0.65625,0.796875
134,male,134_dist_comp.csv,0.8333333333333334,0.9375,0.71875,0.84375,0.78125
135,male,135_dist_comp.csv,0.71875,0.5625,0.90625,0.6875,0.796875
136,male,136_dist_comp.csv,0.7395833333333334,0.8125,0.875,0.53125,0.703125
138,male,138_dist_comp.csv,0.8541666666666666,0.9375,0.875,0.75,0.8125
141,male,141_dist_comp.csv,0.8125,0.90625,0.8125,0.71875,0.765625
142,male,142_dist_comp.csv,0.71875,0.625,0.5625,0.96875,0.765625
145,male,145_dist_comp.csv,0.7708333333333334,0.75,0.8125,0.75,0.78125
149,male,149_dist_comp.csv,0.53125,0.5625,0.5,0.53125,0.515625
167,male,167_dist_comp.csv,0.7708333333333334,0.84375,0.78125,0.6875,0.734375
174,male,174_dist_comp.csv,0.75,0.8125,0.65625,0.78125,0.71875
177,male,177_dist_comp.csv,0.78125,0.78125,0.78125,0.78125,0.78125
178,male,178_dist_comp.csv,0.59375,0.625,0.59375,0.5625,0.578125
182,male,182_dist_comp.csv,0.78125,0.75,0.96875,0.625,0.796875
189,male,189_dist_comp.csv,0.875,0.96875,0.9375,0.71875,0.828125
194,male,194_dist_comp.csv,0.8333333333333334,1.0,0.53125,0.96875,0.75
195,male,195_dist_comp.csv,0.7916666666666666,0.90625,0.9375,0.53125,0.734375
