Participant ID,sex,key,DD,DS,N/A,SS,SSandDS,SS-DD,SS-DS,DS-DD,DSSS-DD,SSDD,SSDS,DSDD,DSSSDD,wSS,wDS,wDD,wSSandDS
102,female,102,7,1,1,7,8,0,6,-6,1,1.0,7.061830672863204,-0.4913872386965274,1.9765625,2.334033543396352,0.2506956805134247,0.873689465801298,1.1448196908986834
103,female,103,8,4,1,3,7,-5,-1,-4,-1,0.0025733607293183,-0.0103051121438672,0.0057418408689817,0.0234375,1.000300090027008,1.002782722053699,0.9985022466300548,1.001717229536348
106,female,106,6,0,1,9,9,3,9,-6,3,1.598455983562409,10.092746009294803,-0.4913872386965274,3.9296875,3.0009002700810243,0.0,0.7488766849725411,1.287922152261019
107,female,107,7,4,1,4,8,-3,0,-3,1,0.401544016437591,1.0,0.2543063806517363,1.9765625,1.333733453369344,1.002782722053699,0.873689465801298,1.1448196908986834
113,female,113,5,5,1,5,10,0,0,0,5,1.0,1.0,1.0,5.8828125,1.6671668167116802,1.2534784025671235,0.6240639041437843,1.4310246136233542
114,female,114,8,4,1,3,7,-5,-1,-4,-1,0.0025733607293183,-0.0103051121438672,0.0057418408689817,0.0234375,1.000300090027008,1.002782722053699,0.9985022466300548,1.001717229536348
115,female,115,4,6,1,5,11,1,-1,2,7,1.1994853278541364,-0.0103051121438672,1.4971290795655092,7.835937500000001,1.6671668167116802,1.5041740830805486,0.4992511233150274,1.5741270749856895
116,female,116,1,7,1,7,14,6,0,6,13,2.196911967124818,1.0,2.491387238696527,13.6953125,2.334033543396352,1.7548697635939732,0.1248127808287568,2.003434459072696
118,female,118,1,11,1,3,14,2,-8,10,13,1.3989706557082726,-7.082440897150938,3.485645397827545,13.6953125,1.000300090027008,2.757652485647672,0.1248127808287568,2.003434459072696
119,female,119,6,3,1,6,9,0,3,-3,3,1.0,4.030915336431602,0.2543063806517363,3.9296875,2.000600180054016,0.7520870415402743,0.7488766849725411,1.287922152261019
120,female,120,3,8,1,3,11,0,-5,5,8,1.0,-4.051525560719336,2.2428226989137725,8.8125,1.000300090027008,2.005565444107398,0.3744383424862705,1.5741270749856895
121,female,121,5,4,1,6,10,1,2,-1,5,1.1994853278541364,3.020610224287734,0.7514354602172454,5.8828125,2.000600180054016,1.002782722053699,0.6240639041437843,1.4310246136233542
123,female,123,3,5,1,6,11,3,1,2,8,1.598455983562409,2.0103051121438678,1.4971290795655092,8.8125,2.000600180054016,1.2534784025671235,0.3744383424862705,1.5741270749856895
125,female,125,1,4,1,10,14,9,6,3,13,2.795367950687227,7.061830672863204,1.7456936193482635,13.6953125,3.3343336334233604,1.002782722053699,0.1248127808287568,2.003434459072696
127,female,127,11,4,1,0,4,-11,-4,-7,-7,-1.1943386063954995,-3.041220448575469,-0.739951778479282,-5.8359375,0.0,1.002782722053699,1.372940589116325,0.5724098454493417
128,female,128,1,8,1,6,14,5,-2,7,13,1.9974266392706816,-1.0206102242877344,2.739951778479282,13.6953125,2.000600180054016,2.005565444107398,0.1248127808287568,2.003434459072696
129,female,129,2,6,1,6,12,4,0,4,10,1.7979413114165452,1.0,1.994258159131018,10.765625,2.000600180054016,1.5041740830805486,0.2496255616575137,1.717229536348025
131,female,131,1,5,1,9,14,8,4,4,13,2.5958826228330905,5.041220448575469,1.994258159131018,13.6953125,3.0009002700810243,1.2534784025671235,0.1248127808287568,2.003434459072696
132,female,132,3,4,1,8,12,5,4,1,9,1.9974266392706816,5.041220448575469,1.2485645397827545,9.7890625,2.667466906738688,1.002782722053699,0.3744383424862705,1.717229536348025
133,female,133,8,1,1,3,4,-5,2,-7,-4,0.0025733607293183,3.020610224287734,-0.739951778479282,-2.90625,1.000300090027008,0.2506956805134247,0.9985022466300548,0.5724098454493417
