Participant ID,sex,source_file,overall_total_count,overall_count_of_yes,overall_percentage_of_yes,DD_mean,DD_median,DD_total_count,DD_count_of_yes,DD_percentage_of_yes,DS_mean,DS_median,DS_total_count,DS_count_of_yes,DS_percentage_of_yes,SS_mean,SS_median,SS_total_count,SS_count_of_yes,SS_percentage_of_yes,DSSS_percentage_of_yes
102,female,102_jrd.csv,64,40,0.625,137.66887515625,134.71639000000002,32,16,0.5,134.1518898125,125.04163,16,8,0.5,22.226302125,13.84118,16,16,1.0,0.75
103,female,103_jrd.csv,64,64,1.0,32.345882194375,35.149295,32,32,1.0,24.4724521875,17.111095,16,16,1.0,29.632972125,28.055745,16,16,1.0,1.0
104,male,104_jrd.csv,64,63,0.984375,16.7455280915625,15.75723,32,32,1.0,29.689557625,8.247301,16,15,0.9375,18.29508535,17.551115000000003,16,16,1.0,0.96875
106,female,106_jrd.csv,64,55,0.859375,68.59823165625,45.76808,32,28,0.875,86.2304486875,34.333005,16,12,0.75,58.689413375,34.244165,16,15,0.9375,0.84375
107,female,107_jrd.csv,64,62,0.96875,36.84748525,20.07088,32,31,0.96875,42.3289916875,21.12512,16,15,0.9375,20.72399818125,16.74576,16,16,1.0,0.96875
108,male,108_jrd.csv,64,28,0.4375,156.50218846875,222.78585,32,12,0.375,100.0090215,62.466975,16,9,0.5625,161.28787711249998,165.73885,16,7,0.4375,0.5
111,male,111_jrd.csv,64,55,0.859375,58.0911216625,29.08184,32,28,0.875,64.59360525625,13.551805,16,13,0.8125,42.094659125,20.070285,16,14,0.875,0.84375
112,male,112_jrd.csv,64,48,0.75,92.800817540625,31.18769,32,21,0.65625,120.4255310625,38.30086,16,11,0.6875,15.650058125,17.0883,16,16,1.0,0.84375
113,female,113_jrd.csv,64,30,0.46875,148.048898125,147.3031,32,14,0.4375,127.9886849375,74.613625,16,8,0.5,133.281315522,128.13094999999998,16,8,0.5,0.5
114,female,114_jrd.csv,64,32,0.5,140.46591440625,149.1615,32,16,0.5,155.3473605625,168.52675,16,7,0.4375,128.575804125,75.601005,16,9,0.5625,0.5
115,female,115_jrd.csv,64,44,0.6875,113.99029425,49.343055,32,21,0.65625,69.1866445,36.36464,16,13,0.8125,102.219801625,36.830505,16,10,0.625,0.71875
116,female,116_jrd.csv,64,43,0.671875,90.427519475,28.87128,32,24,0.75,135.086156875,63.53854,16,10,0.625,130.4978118125,94.54212,16,9,0.5625,0.59375
118,female,118_jrd.csv,64,35,0.546875,168.233720125,172.11290000000002,32,13,0.40625,161.945940375,119.640505,16,7,0.4375,40.923369375,16.69568,16,15,0.9375,0.6875
