Participant ID,sex,source_file,overall_total_count,overall_count_of_yes,overall_percentage_of_yes,DD_mean,DD_median,DD_total_count,DD_count_of_yes,DD_percentage_of_yes,DS_mean,DS_median,DS_total_count,DS_count_of_yes,DS_percentage_of_yes,SS_mean,SS_median,SS_total_count,SS_count_of_yes,SS_percentage_of_yes,DSSS_percentage_of_yes
104,male,104_jrd.csv,64,63,0.984375,16.7455280915625,15.75723,32,32,1.0,29.689557625,8.247301,16,15,0.9375,18.29508535,17.551115000000003,16,16,1.0,0.96875
108,male,108_jrd.csv,64,28,0.4375,156.50218846875,222.78585,32,12,0.375,100.0090215,62.466975,16,9,0.5625,161.28787711249998,165.73885,16,7,0.4375,0.5
111,male,111_jrd.csv,64,55,0.859375,58.0911216625,29.08184,32,28,0.875,64.59360525625,13.551805,16,13,0.8125,42.094659125,20.070285,16,14,0.875,0.84375
112,male,112_jrd.csv,64,48,0.75,92.800817540625,31.18769,32,21,0.65625,120.4255310625,38.30086,16,11,0.6875,15.650058125,17.0883,16,16,1.0,0.84375
124,male,124_jrd.csv,64,61,0.953125,30.36996534375,15.506620000000002,32,31,0.96875,16.4941763125,9.881094,16,16,1.0,38.7052310625,13.85282,16,14,0.875,0.9375
130,male,130_jrd.csv,64,60,0.9375,39.100532009375,23.53059,32,29,0.90625,24.291448425,22.04847,16,16,1.0,40.75165593125,29.315620000000003,16,15,0.9375,0.96875
134,male,134_jrd.csv,64,60,0.9375,32.756806187500004,13.84733,32,30,0.9375,18.40030644375,17.995365,16,16,1.0,51.9931408125,22.48801,16,14,0.875,0.9375
135,male,135_jrd.csv,64,42,0.65625,137.63760778125,141.09079,32,16,0.5,44.2047004375,14.286395,16,15,0.9375,82.5792921875,19.20828,16,11,0.6875,0.8125
136,male,136_jrd.csv,64,57,0.890625,49.045719771875,15.50541,32,28,0.875,35.065503675,15.59202,16,15,0.9375,53.3481410625,14.0403,16,14,0.875,0.90625
138,male,138_jrd.csv,64,63,0.984375,25.5238855625,26.891375,32,32,1.0,23.261835,18.62727,16,16,1.0,20.453293375,12.13559,16,15,0.9375,0.96875
141,male,141_jrd.csv,64,62,0.96875,34.9267486875,18.619215,32,30,0.9375,26.9475111875,27.84459,16,16,1.0,23.6685782,19.495765,16,16,1.0,1.0
142,male,142_jrd.csv,64,35,0.546875,142.53367090625,189.91675,32,15,0.46875,146.696937,128.637635,16,8,0.5,87.5297838125,31.023225,16,12,0.75,0.625
145,male,145_jrd.csv,64,58,0.90625,35.98602838125,23.78276,32,30,0.9375,37.1245164375,23.20742,16,15,0.9375,66.144035875,31.63135,16,13,0.8125,0.875
149,male,149_jrd.csv,64,51,0.796875,57.0171297,17.754995,32,27,0.84375,64.180363,20.433175,16,12,0.75,76.4739331125,11.912995,16,12,0.75,0.75
167,male,167_jrd.csv,64,57,0.890625,43.48730928125,20.654515,32,29,0.90625,50.61856939375,25.208925,16,14,0.875,48.984673676875005,25.88351,16,14,0.875,0.875
174,male,174_jrd.csv,64,63,0.984375,41.434769959375,28.12265,32,31,0.96875,38.032793125,36.027705,16,16,1.0,43.8567216875,24.740775,16,16,1.0,1.0
177,male,177_jrd.csv,64,63,0.984375,27.479735090625,14.15135,32,31,0.96875,25.745324525,17.6286,16,16,1.0,15.328981,14.290455,16,16,1.0,1.0
178,male,178_jrd.csv,64,43,0.671875,127.30745258125,87.59727000000001,32,19,0.59375,74.39633781250001,29.70097,16,12,0.75,87.39877606249999,26.57824,16,12,0.75,0.75
182,male,182_jrd.csv,64,36,0.5625,144.64164915625,163.543,32,15,0.46875,133.55747425,110.7656,16,10,0.625,99.533266625,85.66958,16,11,0.6875,0.65625
189,male,189_jrd.csv,64,64,1.0,20.02404003125,18.958955,32,32,1.0,28.1354435625,27.434115,16,16,1.0,25.3449075,21.0692,16,16,1.0,1.0
194,male,194_jrd.csv,64,61,0.953125,25.906592384375,15.450175000000002,32,30,0.9375,29.5870030625,16.82113,16,15,0.9375,16.05399675,14.54193,16,16,1.0,0.96875
195,male,195_jrd.csv,64,56,0.875,48.856844596875,16.056175,32,28,0.875,50.81706116875,18.228695,16,14,0.875,50.004410803125,11.894453,16,14,0.875,0.875
